Turtle_ID,Turtle_URL,Species,AgeClass,SightedDate,SourceOfSighting,Sighting_URL,ImageTakenBy,SightedLocation,GPS,dwc:decimalLatitude,dwc:decimalLongitude,dwc:coordinateUncertaintyInMeters,InjuryCause,InjuryType,WoundLocation,WoundSeverity,HealingStage,Note
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2017/3/24,TST facebook group,https://www.facebook.com/photo.php?fbid=1690010041017026&set=p.1690010041017026&type=3,Su Huai,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Undetermined,1st wound
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2017/6/11,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/477723342572110,Su Huai,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Partially healed,Wound partially filled with pale tissue and early granulation.
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2017/6/22,TST facebook group,https://www.facebook.com/photo.php?fbid=1700746929943337&set=p.1700746929943337&type=3,Su Huai,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Partially healed,
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2017/6/29,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/487142134963564,島主,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Partially healed,
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2018/3/28,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/617737578570685,Yen Bebe,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Healed,Area fully closed with scar tissue and pigmentation difference.
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2018/5/18,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/641486349529141/,Gavin Ye,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Healed,
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2018/10/25,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/765869987090776/,Arwen Lin,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Partially healed,2nd wound
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2018/12/6,TST facebook group,https://www.facebook.com/photo.php?fbid=2203818629681519&set=p.2203818629681519&type=3,吳芷,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Partially healed,
TW01G0047,https://turtlespottw.org/turtle-profile/TW01G0047,Chelonia mydas,Subadult,2020/8/24,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/1259430421068061/,Sese Hsu,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Unknown,Abrasion,Carapace,Minor,Healed,Healed
TW01G0048,https://turtlespottw.org/turtle-profile/TW01G0048,Chelonia mydas,Adult,2017/2/1,TST facebook group,https://www.facebook.com/groups/turtlespotintw/permalink/479477802396664,Po-Han Hsu,Vase Rock,"22.35613, 120.38092",22.35613,120.38092,100,Fishing line entanglement,Entanglement,Right front flipper,Severe,Undetermined,Entanglement with fishing line and float. Visible tissue swelling and embeded line.
